% god. mj. dan. sat. NE  NW
 2003  5 15  8  0.2987  1.2388
 2003  5 15  9  1.5709  5.3082
 2003  5 15 10  0.3179  6.8880
 2003  5 15 11  0.0197  7.7478
 2003  5 15 12 -0.9748  5.2604
 2003  5 15 13 -2.5077  0.0151
 2003  5 15 14 -1.8683 -5.3024
 2003  5 15 15 -0.6708 -9.2736
 2003  5 15 16 -3.3685 -11.5655
 2003  5 15 17 -2.9870 -11.7270
 2003  5 15 18 -1.9045 -11.7242
 2003  5 15 19  0.1200 -2.4540
 2003  5 15 20 -0.4022  5.3038
 2003  5 15 21 -0.1103 13.5407
 2003  5 15 22 -1.6246 15.7120
 2003  5 15 23 -1.6249 18.7760
 2003  5 16  0 -0.6610 13.2442
 2003  5 16  1 -0.3341 10.2583
 2003  5 16  2  0.4401  5.4755
 2003  5 16  3  1.2693 -0.7720
 2003  5 16  4 -0.2413 -6.2497
 2003  5 16  5 -1.1659 -7.1854
 2003  5 16  6 -2.5116 -10.8947
 2003  5 16  7 -0.8496 -9.6069
 2003  5 16  8 -0.2698 -2.7938
 2003  5 16  9 -6.5564  6.9758
 2003  5 16 10 -8.6251  9.4378
 2003  5 16 11 -9.6176 10.3308
 2003  5 16 12 -10.2643  6.3436
 2003  5 16 13 -6.9937  2.7691
 2003  5 16 14 -4.5770 -3.1925
 2003  5 16 15 -4.6032 -8.1711
 2003  5 16 16 -3.1411 -14.7544
 2003  5 16 17 -0.8315 -13.0309
 2003  5 16 18  1.3943 -10.3596
 2003  5 16 19  1.7856 -4.9967
 2003  5 16 20  1.2527  0.9368
 2003  5 16 21  3.3973  6.7589
 2003  5 16 22  3.2912 13.7323
 2003  5 16 23  0.1712 20.7121
 2003  5 17  0  0.7600 21.8063
 2003  5 17  1 -0.4957 22.4189
 2003  5 17  2 -4.2908 14.7986
 2003  5 17  3 -6.6751  7.6605
 2003  5 17  4 -8.8708 -0.7447
 2003  5 17  5 -7.2903 -9.6251
 2003  5 17  6 -6.8742 -14.2496
 2003  5 17  7 -5.6715 -14.7175
 2003  5 17  8 -3.0134 -14.3057
 2003  5 17  9  0.8849 -12.7623
 2003  5 17 10  1.6341 -4.6290
 2003  5 17 11  1.5060  1.2440
 2003  5 17 12  1.7812  4.6414
 2003  5 17 13  0.9556  4.5946
 2003  5 17 14  1.6184  3.1308
 2003  5 17 15  2.3021 -1.4562
 2003  5 17 16  3.0690 -3.9897
 2003  5 17 17  0.9590 -2.7686
 2003  5 17 18 -1.9330 -3.0654
 2003  5 17 19 -3.4307 -3.1403
 2003  5 17 20 -3.7557 -0.0686
 2003  5 17 21 -4.4186  4.3272
 2003  5 17 22 -5.2803 10.3747
 2003  5 17 23 -3.5027 11.8327
 2003  5 18  0 -3.3610 11.3435
 2003  5 18  1 -3.1512 11.8238
 2003  5 18  2 -1.5260  6.0050
 2003  5 18  3  0.3380  0.0927
 2003  5 18  4  1.4423 -4.4701
 2003  5 18  5  0.7233 -7.6267
 2003  5 18  6  1.8572 -8.6348
 2003  5 18  7  2.2464 -10.7525
 2003  5 18  8  4.4453 -10.9230
 2003  5 18  9  2.6561 -4.4335
 2003  5 18 10  0.8071  1.2718
 2003  5 18 11 -0.1037  5.3624
 2003  5 18 12 -1.6962  5.7339
 2003  5 18 13 -3.7996  7.1049
 2003  5 18 14 -3.8191  5.1618
 2003  5 18 15 -3.1477 -0.5134
 2003  5 18 16 -2.8818 -5.2199
 2003  5 18 17 -2.6443 -8.8162
 2003  5 18 18 -2.7744 -9.9844
 2003  5 18 19  2.2691 -10.1818
 2003  5 18 20  3.5041 -5.8304
 2003  5 18 21  3.5779 -0.0796
 2003  5 18 22  5.2895  6.8576
 2003  5 18 23  6.0284 10.9395
 2003  5 19  0  4.3558 16.4026
 2003  5 19  1  2.2150 19.2767
 2003  5 19  2 -0.1130 18.7150
 2003  5 19  3 -3.6184 15.2077
 2003  5 19  4 -9.5010 10.5940
 2003  5 19  5 -8.7008  1.0566
 2003  5 19  6 -5.0218 -8.0209
 2003  5 19  7 -2.8669 -8.8148
 2003  5 19  8 -3.5604 -11.4809
 2003  5 19  9 -3.0889 -14.2955
 2003  5 19 10  1.3159 -12.4900
 2003  5 19 11  3.5688 -6.8149
 2003  5 19 12  4.8911 -5.4879
 2003  5 19 13  6.2114 -0.5181
 2003  5 19 14  5.3577 -0.3721
 2003  5 19 15  4.3196  1.6614
 2003  5 19 16  3.4126  0.7988
 2003  5 19 17  2.8283 -1.6689
 2003  5 19 18  2.9023 -0.4619
 2003  5 19 19  0.1212  0.1221
 2003  5 19 20  0.3839  1.8015
 2003  5 19 21  1.2364  3.9022
 2003  5 19 22 -1.0764  8.0357
